    month daymonth dayweek ozone press wind humid tempS tempE ibht pressg ibtemp vis
5       1        5       1     5  5760    3    51    54 45.32 1450     25  57.02  60
6       1        6       2     6  5720    4    69    35 49.64 1568     15  53.78  60
7       1        7       3     4  5790    6    19    45 46.40 2631    -33  54.14 100
8       1        8       4     4  5790    3    25    55 52.70  554    -28  64.76 250
9       1        9       5     6  5700    3    73    41 48.02 2083     23  52.52 120
12      1       12       1     6  5720    3    44    51 54.32  111      9  63.14 150
13      1       13       2     5  5760    6    33    51 57.56  492    -44  64.58  40
14      1       14       3     4  5780    6    19    54 56.12 5000    -44  56.30 200
15      1       15       4     4  5830    3    19    58 62.24 1249    -53  75.74 250
16      1       16       5     7  5870    2    19    61 64.94 5000    -67  65.48 200
19      1       19       1     4  5680    5    73    52 56.48  393    -68  69.80  10
21      1       21       3     4  5760    3    19    54 53.60 5000    -58  51.98 250
22      1       22       4     4  5730    4    26    58 52.70 5000    -26  51.98 200
23      1       23       5     5  5700    5    59    69 51.08 3044     18  52.88 150
27      1       27       2     6  5820    5    19    59 59.36  597    -52  70.52  70
29      1       29       4     6  5810    5    19    64 56.66 1791    -15  64.76 150
30      1       30       5    11  5790    3    28    63 57.38  793    -15  65.84 120
33      2        2       1    12  5770    8    76    63 57.20  816     -7  66.20   6
34      2        3       2     9  5670    3    69    54 45.50 3651     62  49.10  30
35      2        4       3     2  5590    3    76    36 37.40 5000     70  37.94 100
36      2        5       4     3  5410    6    64    31 32.18 5000     28  32.36 200
37      2        6       5     3  5350    7    62    30 32.54 1341     18  45.86  60
40      2        9       1     3  5490   11    72    37 38.48 5000     32  38.12 350
41      2       10       2     4  5560   10    72    41 40.46 5000     -1  37.58 300
43      2       12       4     8  5680    5    50    51 47.12 5000     -8  45.50 300
44      2       13       5     6  5700    4    86    55 49.28 2398     21  53.78 200
48      2       17       2    11  5770    5    68    45 52.88 2778      2  55.76 200
49      2       18       3    13  5770    3    82    55 55.40  442     26  58.28  40
51      2       20       5     6  5690    8    21    41 43.88 5000    -30  42.26 300
54      2       23       1     4  5690    7    19    53 50.18 5000      7  49.10 300
55      2       24       2     6  5640    5    68    50 37.40 5000     24  42.08 300
56      2       25       3    10  5720    6    63    60 53.06 1341     19  59.18 150
57      2       26       4    15  5740    3    54    54 56.48 1318      2  64.58 150
58      2       27       5    23  5740    3    47    53 58.82  885     -4  67.10  80
61      3        1       1     2  5550   10    74    40 38.84 5000     73  40.10  80
62      3        2       2     3  5470    7    46    30 29.66 5000     44  29.30 300
63      3        3       3     3  5320   11    45    25 27.68 5000     39  27.50 200
65      3        5       5     4  5530    3    43    40 36.14 5000    -12  33.62 140
68      3        8       1     7  5580    5    42    48 40.64 3608     24  39.38 100
69      3        9       2     6  5510    5    50    45 36.86 5000     38  32.90 140
